"","name","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"704","Draymond Green","Golden State Warriors","12/8/16",2016,2,4,33,"made shot","Jump Shot","3PT Field Goal",25,"Utah Jazz",166,193,20
"705","Draymond Green","Golden State Warriors","12/8/16",2016,1,11,25,"missed shot","Jump Shot","3PT Field Goal",25,"Utah Jazz",-194,159,1
"706","Draymond Green","Golden State Warriors","12/8/16",2016,1,5,32,"made shot","Jump Shot","3PT Field Goal",24,"Utah Jazz",-112,214,7
"707","Draymond Green","Golden State Warriors","12/8/16",2016,3,11,36,"missed shot","Jump Shot","3PT Field Goal",25,"Utah Jazz",37,249,25
"708","Draymond Green","Golden State Warriors","12/7/16",2016,2,7,0,"made shot","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",20,264,17
"709","Draymond Green","Golden State Warriors","12/7/16",2016,2,0,3,"made shot","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",195,180,24
"710","Draymond Green","Golden State Warriors","12/7/16",2016,4,5,19,"missed shot","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",-9,269,43
"711","Draymond Green","Golden State Warriors","12/7/16",2016,1,2,38,"made shot","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",28,262,10
"712","Draymond Green","Golden State Warriors","12/7/16",2016,2,0,47,"missed shot","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",-14,262,24
"713","Draymond Green","Golden State Warriors","12/5/16",2016,1,4,45,"missed shot","Jump Shot","3PT Field Goal",25,"Indiana Pacers",117,223,8
"714","Draymond Green","Golden State Warriors","12/3/16",2016,2,0,45,"missed shot","Jump Shot","3PT Field Goal",26,"Phoenix Suns",-142,223,24
"715","Draymond Green","Golden State Warriors","12/3/16",2016,3,1,17,"missed shot","Jump Shot","3PT Field Goal",26,"Phoenix Suns",-207,170,35
"716","Draymond Green","Golden State Warriors","12/3/16",2016,1,3,19,"missed shot","Jump Shot","2PT Field Goal",3,"Phoenix Suns",10,31,9
"717","Draymond Green","Golden State Warriors","12/1/16",2016,3,9,3,"missed shot","Jump Shot","2PT Field Goal",4,"Houston Rockets",-14,46,27
"718","Draymond Green","Golden State Warriors","12/1/16",2016,3,2,41,"missed shot","Jump Shot","2PT Field Goal",5,"Houston Rockets",-52,21,34
"719","Draymond Green","Golden State Warriors","12/1/16",2016,2,2,36,"missed shot","Jump Shot","3PT Field Goal",25,"Houston Rockets",-35,252,22
"720","Draymond Green","Golden State Warriors","12/1/16",2016,1,6,52,"missed shot","Jump Shot","3PT Field Goal",24,"Houston Rockets",66,234,6
"721","Draymond Green","Golden State Warriors","11/28/16",2016,1,7,45,"missed shot","Jump Shot","2PT Field Goal",12,"Atlanta Hawks",-125,26,5
"722","Draymond Green","Golden State Warriors","11/28/16",2016,3,10,17,"made shot","Jump Shot","2PT Field Goal",18,"Atlanta Hawks",-137,129,26
"723","Draymond Green","Golden State Warriors","11/25/16",2016,3,10,15,"missed shot","Jump Shot","3PT Field Goal",24,"Los Angeles Lakers",-15,243,26
"724","Draymond Green","Golden State Warriors","11/25/16",2016,3,8,54,"made shot","Jump Shot","3PT Field Goal",25,"Los Angeles Lakers",-55,246,28
"725","Draymond Green","Golden State Warriors","11/23/16",2016,2,4,32,"missed shot","Jump Shot","3PT Field Goal",26,"Los Angeles Lakers",-40,267,20
"726","Draymond Green","Golden State Warriors","11/21/16",2016,1,3,48,"missed shot","Jump Shot","3PT Field Goal",26,"Indiana Pacers",-161,210,9
"727","Draymond Green","Golden State Warriors","11/21/16",2016,1,6,58,"missed shot","Jump Shot","3PT Field Goal",26,"Indiana Pacers",9,262,6
"728","Draymond Green","Golden State Warriors","11/19/16",2016,1,5,36,"missed shot","Jump Shot","3PT Field Goal",27,"Milwaukee Bucks",-63,272,7
"729","Draymond Green","Golden State Warriors","11/19/16",2016,1,9,12,"missed shot","Jump Shot","2PT Field Goal",6,"Milwaukee Bucks",-56,33,3
"730","Draymond Green","Golden State Warriors","11/18/16",2016,4,4,43,"missed shot","Jump Shot","3PT Field Goal",26,"Boston Celtics",-119,232,44
"731","Draymond Green","Golden State Warriors","11/18/16",2016,3,9,1,"made shot","Jump Shot","3PT Field Goal",25,"Boston Celtics",-161,195,27
"732","Draymond Green","Golden State Warriors","11/18/16",2016,3,1,38,"missed shot","Jump Shot","3PT Field Goal",26,"Boston Celtics",9,267,35
"733","Draymond Green","Golden State Warriors","11/18/16",2016,2,5,54,"missed shot","Jump Shot","3PT Field Goal",25,"Boston Celtics",-45,254,19
"734","Draymond Green","Golden State Warriors","11/18/16",2016,3,10,46,"made shot","Jump Shot","3PT Field Goal",25,"Boston Celtics",35,249,26
"735","Draymond Green","Golden State Warriors","11/18/16",2016,1,5,0,"missed shot","Jump Shot","3PT Field Goal",24,"Boston Celtics",-73,237,7
"736","Draymond Green","Golden State Warriors","11/16/16",2016,2,6,8,"missed shot","Jump Shot","3PT Field Goal",26,"Toronto Raptors",-173,198,18
"737","Draymond Green","Golden State Warriors","11/16/16",2016,1,3,46,"made shot","Jump Shot","3PT Field Goal",25,"Toronto Raptors",25,257,9
"738","Draymond Green","Golden State Warriors","11/16/16",2016,1,2,36,"missed shot","Jump Shot","3PT Field Goal",28,"Toronto Raptors",194,208,10
"739","Draymond Green","Golden State Warriors","11/13/16",2016,1,1,1,"missed shot","Jump Shot","3PT Field Goal",26,"Phoenix Suns",176,198,11
"740","Draymond Green","Golden State Warriors","11/13/16",2016,3,9,22,"missed shot","Jump Shot","3PT Field Goal",25,"Phoenix Suns",-174,183,27
"741","Draymond Green","Golden State Warriors","11/13/16",2016,1,7,8,"missed shot","Jump Shot","3PT Field Goal",26,"Phoenix Suns",19,269,5
"742","Draymond Green","Golden State Warriors","11/10/16",2016,1,3,6,"made shot","Jump Shot","3PT Field Goal",25,"Denver Nuggets",-166,190,9
"743","Draymond Green","Golden State Warriors","11/10/16",2016,1,11,37,"made shot","Jump Shot","3PT Field Goal",24,"Denver Nuggets",-155,193,1
"744","Draymond Green","Golden State Warriors","11/10/16",2016,3,11,18,"made shot","Jump Shot","3PT Field Goal",24,"Denver Nuggets",-101,228,25
"745","Draymond Green","Golden State Warriors","11/10/16",2016,1,4,57,"missed shot","Jump Shot","3PT Field Goal",26,"Denver Nuggets",-143,218,8
"746","Draymond Green","Golden State Warriors","11/9/16",2016,3,2,59,"missed shot","Jump Shot","3PT Field Goal",26,"Dallas Mavericks",107,237,34
"747","Draymond Green","Golden State Warriors","11/9/16",2016,2,4,49,"made shot","Jump Shot","3PT Field Goal",25,"Dallas Mavericks",-24,252,20
"748","Draymond Green","Golden State Warriors","11/7/16",2016,3,11,32,"missed shot","Jump Shot","3PT Field Goal",24,"New Orleans Pelicans",240,36,25
"749","Draymond Green","Golden State Warriors","11/7/16",2016,2,1,37,"missed shot","Jump Shot","2PT Field Goal",3,"New Orleans Pelicans",1,36,23
"750","Draymond Green","Golden State Warriors","11/4/16",2016,1,11,42,"missed shot","Jump Shot","3PT Field Goal",24,"Los Angeles Lakers",37,241,1
"751","Draymond Green","Golden State Warriors","11/4/16",2016,3,0,0,"missed shot","Jump Shot","3PT Field Goal",40,"Los Angeles Lakers",18,408,36
"752","Draymond Green","Golden State Warriors","11/4/16",2016,4,8,47,"missed shot","Jump Shot","3PT Field Goal",25,"Los Angeles Lakers",86,238,40
"753","Draymond Green","Golden State Warriors","11/3/16",2016,1,10,15,"missed shot","Jump Shot","3PT Field Goal",26,"Oklahoma City Thunder",-55,257,2
"754","Draymond Green","Golden State Warriors","11/3/16",2016,1,9,28,"missed shot","Jump Shot","2PT Field Goal",3,"Oklahoma City Thunder",-20,23,3
"755","Draymond Green","Golden State Warriors","11/1/16",2016,1,5,7,"made shot","Jump Shot","3PT Field Goal",25,"Portland Trail Blazers",161,195,7
"756","Draymond Green","Golden State Warriors","10/30/16",2016,1,7,48,"missed shot","Jump Shot","3PT Field Goal",26,"Phoenix Suns",187,185,5
"757","Draymond Green","Golden State Warriors","10/30/16",2016,3,7,59,"missed shot","Jump Shot","3PT Field Goal",26,"Phoenix Suns",-4,262,29
"758","Draymond Green","Golden State Warriors","10/30/16",2016,2,6,14,"missed shot","Jump Shot","3PT Field Goal",26,"Phoenix Suns",151,213,18
"759","Draymond Green","Golden State Warriors","10/30/16",2016,4,2,26,"missed shot","Jump Shot","3PT Field Goal",26,"Phoenix Suns",-202,174,46
"760","Draymond Green","Golden State Warriors","10/28/16",2016,3,11,40,"made shot","Jump Shot","3PT Field Goal",26,"New Orleans Pelicans",-42,257,25
"761","Draymond Green","Golden State Warriors","10/28/16",2016,2,5,52,"missed shot","Jump Shot","2PT Field Goal",3,"New Orleans Pelicans",1,36,19
